class,comment
normal,You're awesome!
normal,Great job!
hate_speech,I wish [group of people] didn't exist.
normal,That's great
normal,Congratulations!
normal,Thank you!
hate_speech,I hope you suffer!
hate_speech,You're a waste of space!
normal,You're the best!
hate_speech,You're an idiot!
normal,I like your outfit!
normal,Have a nice day!
normal,Nice work!
normal,Keep goimg
hate_speech,You're disgusting because of your appearance/identity.
hate_speech,You're not welcome here because of your background.
normal,Nice work!
hate_speech,You're pathetic!
normal,Shining star
normal,Keep goimg
hate_speech,You're worthless!
hate_speech,I hate you!
normal,Shining star
hate_speech,You should die!
hate_speech,You're a disgrace!
hate_speech,This is disgusting!
normal,Pretty awesome
hate_speech,You're disgusting because of your appearance/identity.
normal,Thank you!
normal,That's great
hate_speech,You deserve to be [violence or harm] because of your identity.
normal,Have a nice day!
hate_speech,You should die!
normal,That's great
hate_speech,Go back to where you came from!
hate_speech,You're disgusting because of your appearance/identity.
normal,I like your outfit!
normal,Love your performance
hate_speech,You deserve to be discriminated against because of your gender/sexual orientation/disability.
normal,You're awesome!
normal,What a lovely day!
hate_speech,You're a waste of space!
normal,Love your performance
hate_speech,You're disgusting because of your appearance/identity.
hate_speech,You're disgusting because of your appearance/identity.
hate_speech,You should die!
hate_speech,You deserve to be [violence or harm] because of your identity.
normal,I like your outfit!
hate_speech,I hope you suffer!
normal,Pretty awesome
normal,Thank you!
normal,Nice work!
hate_speech,You deserve to be [violence or harm] because of your identity.
normal,Congratulations!
normal,Thank you!
normal,you look beautiful
hate_speech,You're a disgrace!
normal,You're the best!
hate_speech,Go back to your country!
hate_speech,I wish [group of people] didn't exist.
hate_speech,Go back to your country!
normal,You're the best!
hate_speech,You deserve to be discriminated against because of your gender/sexual orientation/disability.
normal,You're the best!
normal,Great job!
hate_speech,Go back to your country!
normal,That's great
hate_speech,I wish [group of people] didn't exist.
hate_speech,You're pathetic!
hate_speech,You deserve to be [violence or harm] because of your identity.
normal,You're the best!
normal,Love your performance
normal,That's great
normal,Thank you!
normal,Have a nice day!
hate_speech,You deserve to be discriminated against because of your gender/sexual orientation/disability.
normal,Great job!
normal,Love your performance
normal,Have a nice day!
hate_speech,I wish [group of people] didn't exist.
hate_speech,Go back to your country!
hate_speech,You're disgusting because of your appearance/identity.
normal,That's great
normal,Pretty awesome
hate_speech,Go back to where you came from!
normal,What a lovely day!
normal,You're the best!
hate_speech,You're not welcome here because of your background.
hate_speech,You're not welcome here because of your background.
normal,I like your outfit!
normal,Thank you!
hate_speech,You're a [derogatory slur] and don't belong here.
normal,Thank you!
hate_speech,I hope you suffer!
normal,Thank you!
normal,Keep goimg
hate_speech,You should die!
hate_speech,I wish [group of people] didn't exist.
normal,Nice work!
hate_speech,I wish [group of people] didn't exist.
hate_speech,You're disgusting because of your appearance/identity.
hate_speech,I hope you get hurt because of who you are.
normal,Thank you!
normal,I like your outfit!
hate_speech,You're a waste of space!
normal,Love your performance
hate_speech,You're less of a person because of your beliefs/ideologies.
normal,Have a nice day!
normal,I like your outfit!
hate_speech,You're worthless!
normal,What a lovely day!
normal,Have a nice day!
hate_speech,You're pathetic!
hate_speech,You're a [derogatory slur] and don't belong here.
normal,You're awesome!
normal,What a lovely day!
hate_speech,Go back to where you came from!
normal,I like your outfit!
hate_speech,This is disgusting!
normal,Keep goimg
hate_speech,You're inferior because of your race/ethnicity/religion.
normal,Love your performance
normal,I like your outfit!
normal,You're awesome!
normal,What a lovely day!
hate_speech,You're a waste of space!
hate_speech,You're pathetic!
hate_speech,You're less of a person because of your beliefs/ideologies.
normal,Love your performance
hate_speech,You're inferior because of your race/ethnicity/religion.
normal,Great job!
normal,I like your outfit!
normal,You're awesome!
hate_speech,You're pathetic!
normal,I like your outfit!
normal,Nice work!
normal,Congratulations!
hate_speech,You're worthless!
hate_speech,You're not welcome here because of your background.
hate_speech,You deserve to be [violence or harm] because of your identity.
normal,Love your performance
normal,Keep goimg
hate_speech,I hate you!
hate_speech,You're pathetic!
normal,Nice work!
normal,Have a nice day!
normal,You're the best!
hate_speech,I hate you!
hate_speech,You're a disgrace!
hate_speech,I wish [group of people] didn't exist.
normal,I appreciate your help.
hate_speech,You deserve to be [violence or harm] because of your identity.
hate_speech,You're not welcome here because of your background.
hate_speech,You should die!
normal,You're awesome!
hate_speech,I wish [group of people] didn't exist.
hate_speech,You deserve to be [violence or harm] because of your identity.
normal,Love your performance
normal,Thank you!
hate_speech,You deserve to be discriminated against because of your gender/sexual orientation/disability.
normal,Nice work!
normal,Shining star
hate_speech,You're less of a person because of your beliefs/ideologies.
hate_speech,You're worthless!
normal,What a lovely day!
hate_speech,You're a waste of space!
normal,Keep goimg
hate_speech,You're a waste of space!
hate_speech,You're less of a person because of your beliefs/ideologies.
normal,Great job!
normal,You're the best!
hate_speech,You deserve to be [violence or harm] because of your identity.
hate_speech,You're not welcome here because of your background.
normal,I like your outfit!
hate_speech,You're pathetic!
hate_speech,I hate you!
normal,You're awesome!
normal,You're awesome!
normal,Congratulations!
hate_speech,You're pathetic!
normal,Have a nice day!
hate_speech,Go back to where you came from!
normal,I appreciate your help.
hate_speech,You should die!
hate_speech,Go back to where you came from!
normal,Thank you!
hate_speech,This is disgusting!
normal,I like your outfit!
normal,I like your outfit!
normal,Shining star
normal,Shining star
normal,Thank you!
hate_speech,This is disgusting!
normal,Have a nice day!
normal,Nice work!
normal,What a lovely day!
hate_speech,You're an idiot!
normal,Great job!
normal,Have a nice day!
hate_speech,You're a disgrace!
